timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/02/13 05:44:14.043, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:44:24.045, 0, Tesla V100S-PCIE-32GB, 22 %, 472 MiB, 32768 MiB
2026/02/13 05:44:34.049, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:44:44.051, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:44:54.055, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:45:04.058, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:45:14.060, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:45:24.062, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:45:34.069, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:45:44.070, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:45:54.071, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:46:04.073, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:46:14.074, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:46:24.076, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:46:34.077, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:46:44.079, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:46:54.083, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:47:04.088, 0, Tesla V100S-PCIE-32GB, 28 %, 472 MiB, 32768 MiB
2026/02/13 05:47:14.090, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:47:24.091, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:47:34.093, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:47:44.095, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:47:54.097, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:48:04.099, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:48:14.106, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:48:24.110, 0, Tesla V100S-PCIE-32GB, 43 %, 472 MiB, 32768 MiB
2026/02/13 05:48:34.112, 0, Tesla V100S-PCIE-32GB, 28 %, 472 MiB, 32768 MiB
